Title;Section;Automation Type;Estimate;Preconditions;Priority;Steps (Step);Steps (Expected Result);Type
MrBuggy3_walidacja_sprawdzenie uruchomienia  aplikacji ;Z;None;30s;U¿ytkownik posiada system operacyjny Windows 11;Critical;U¿ytkownik pobiera aplikacjê,;;Functional
;;;;;;;;
MrBuggy3_walidacja_sprawdzenie liczby zadañ w aplikacji;Z;None;30s;U¿ytkownik ma uruchomion¹ aplikacjê.;;U¿ytkownik pobiera aplikacjê,;;Functional
MrBuggy3_walidacja_sprawdzenie liczby zadañ w aplikacji;Z;None;30s;U¿ytkownik ma uruchomion¹ aplikacjê.;;U¿ytkownik pobiera aplikacjê,;;Functional
MrBuggy3_walidacja_sprawdzenie uruchomienia aplikacji bez logowania;Y;None;30s;U¿ytkownik ma uruchomion¹ aplikacjê.;;U¿ytkownik pobiera aplikacjê,;;Functional
;;;;;;;;
;;;;;;;;
;;;;;;;;
MrBuggy3_walidacja_sprawdzenie mo¿liwoœci rejestracji;Y;None;45s;;High;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
